sample,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Y,Ho,Er,Tm,Yb,Lu
OM12-025,0.145,0.816,0.216,1.62,0.837,0.368,1.38,0.266,1.78,9.31,0.372,1.03,0.147,0.872,0.121
OM12-025,0.145,0.816,0.219,1.66,0.892,0.377,1.38,0.267,1.83,9.73,0.391,1.07,0.146,0.917,0.129
OM12-025,0.136,0.816,0.208,1.5,0.826,0.348,1.25,0.239,1.63,8.73,0.343,0.941,0.133,0.828,0.121
OM12-025,0.134,0.796,0.2,1.4,0.771,0.34,1.19,0.224,1.48,7.85,0.308,0.872,0.122,0.761,0.105
OM12-025,0.134,0.857,0.214,1.65,0.87,0.375,1.38,0.266,1.74,9.47,0.378,1.03,0.145,0.895,0.125
OM12-025,0.139,0.857,0.213,1.48,0.815,0.344,1.28,0.238,1.62,8.9,0.343,0.929,0.136,0.839,0.115
OM12-025,0.15,0.887,0.22,1.6,0.848,0.355,1.27,0.242,1.63,8.95,0.351,0.987,0.135,0.839,0.117
OM12-025,0.128,0.755,0.192,1.35,0.76,0.307,1.17,0.217,1.49,8.16,0.316,0.883,0.125,0.783,0.112
OM12-025,0.119,0.612,0.166,1.24,0.727,0.293,1.16,0.229,1.56,8.71,0.331,0.929,0.13,0.816,0.125
OM12-025,0.132,0.704,0.193,1.39,0.771,0.326,1.35,0.262,1.75,9.74,0.37,1.02,0.152,0.939,0.136
OM12-025,0.141,0.714,0.2,1.42,0.848,0.338,1.4,0.266,1.77,9.78,0.373,1.07,0.156,0.962,0.135
OM12-025,0.144,0.847,0.233,1.66,0.903,0.365,1.51,0.275,1.89,10.3,0.402,1.1,0.157,0.962,0.143
OM12-025,0.142,0.908,0.241,1.72,0.881,0.372,1.51,0.283,1.83,10.5,0.401,1.14,0.166,0.984,0.145
OM12-025,0.125,0.755,0.195,1.39,0.771,0.322,1.25,0.236,1.63,9.02,0.341,0.964,0.133,0.872,0.128
OM12-025,0.137,0.775,0.192,1.32,0.771,0.299,1.19,0.229,1.54,8.71,0.333,0.929,0.131,0.828,0.123
OM12-025,0.156,0.949,0.258,1.86,1,0.375,1.59,0.312,2.09,11.8,0.458,1.28,0.183,1.11,0.162
OM12-025,0.163,0.949,0.247,1.76,0.958,0.369,1.56,0.281,2,11,0.435,1.18,0.168,1.03,0.149
OM12-025,0.142,0.826,0.2,1.52,0.804,0.335,1.37,0.259,1.73,9.59,0.377,1.04,0.147,0.884,0.128
OM12-025,0.136,0.857,0.206,1.5,0.793,0.328,1.33,0.249,1.66,9.38,0.356,1.04,0.147,0.85,0.128
OM12-025,0.143,0.826,0.216,1.52,0.848,0.351,1.42,0.269,1.86,10.1,0.391,1.09,0.156,0.951,0.143
